ADEP,ADES,ICAO Route,Synthesized Route,Hausdorff Distance
AKL,SIN,UPLAR RIGMI/N0495F380 SCOTT J208 BN V129 EML DCT 22S146E 20S143E/N0488F400 18S140E DCT DAPMA DCT VEGPU DCT JULIE/N0495F380 DCT IKUMA KIKEM M774 KEONG/N0488F400 M774 LAMUD/N0478F430 M774 OBDOS T22 UGEBO 0056N10515E KEXAS UGEBO1A,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,2957.7175064424264
AKL,SIN,DAPMA DCT VEGPU DCT JULIE DCT IKUMA KIKEM M774 OBDOS T22 UGEBO GUNUD KEXAS UGEBO1B,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,738.5779078126842
AKL,SIN,MADEP N774 OLREL/N0498F360 N774 AKALU/N0494F380 N774 TESAT H530 RIC H226 ENPAG DCT 29S144E DCT PEPPY DCT 2200S13800E 1800S13400E/N0487F400 1400S13000E DCT KIKEM M774 OBDOS T22 UGEBO GUNUD KEXAS UGEBO1B,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,2058.0253306982204
AKL,SIN,UPLAR RIGMI/N0496F380 SCOTT J208 BN V129 EML DCT 22S146E 20S143E 18S140E DCT DAPMA/N0488F400 DCT VEGPU DCT JULIE DCT IKUMA KIKEM M774 OBDOS T22 UGEBO GUNUD KEXAS UGEBO1A,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,2957.7175064424264
AKL,SIN,KIKEM M774 OBDOS T22 UGEBO GUNUD KEXAS 0105N10429E DOVAN BIPOP,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,1890.759759130332
AKL,SIN,MADEP N774 OLREL/N0491F380 N774 TESAT PKS G222 AYE T29 CIN ATMAP/N0489F400 M635 SURGA T23 UGEBO GUNUD KEXAS UGEBO1B,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,2058.0253306982204
AKL,SIN,MADEP N774 OLREL/N0494F380 N774 TESAT PKS G222 KADBA/N0488F400 G222 AYE T29 CIN ATMAP M635 SURGA T23 UGEBO 0047N10520E KEXAS UGEBO1B,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,2058.0253306982204
AKL,SIN,MADEP/M085F380 N774 OLREL/N0490F380 N774 TESAT PKS G222 KADUV DCT 30S142E/N0492F400 2700S13700E DCT LUGSA DCT CIN ATMAP M635 SURGA 0005N10534E GUNUD 0110N10455E 0110N10453E DOVAN BIPOP,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,2058.0253306982204
AKL,SIN,UPLAR RIGMI/N0496F360 DUBUD/N0495F380 Q39 SAVER G329 BN G326 BIKER/N0489F400 G326 BLI M635 SURGA 0024N10536E KEXAS UGEBO1B,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,2957.7175064424264
AKL,SIN,PEBLU N759 SASRO/N0498F360 M636 TESAT KADOM/N0490F380 TATUK/N0488F400 ATMAP M635 SURGA T23 UGEBO GUNUD KEXAS UGEBO1B,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,2058.0253306982204
AKL,SIN,MADEP N774 OLREL/N0490F360 N774 TESAT/N0483F380 PKS G222 AYE T29 SCHEE/N0489F400 T29 CIN ATMAP M635 SURGA T23 UGEBO GUNUD KEXAS UGEBO1B,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,2058.0253306982204
AKL,SIN,KIKEM M774 KEONG/N0483F430 M774 OBDOS 0043N10534E 0048N10528E KEXAS UGEBO1B,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,738.5779078126842
AKL,SIN,UPLAR RIGMI/N0495F360 DUBUD/N0485F340 SCOTT J208 BN V129 EML/N0494F400 DCT 22S146E 20S143E 18S140E DCT DAPMA DCT VEGPU DCT JULIE DCT IKUMA KIKEM M774 KEONG/N0483F430 M774 OBDOS T22 UGEBO,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,2957.7175064424264
AKL,SIN,MADEP/M086F360 N774 OLREL/N0491F360 N774 TESAT PKS G222 KADUV DCT 30S142E 2700S13700E/N0485F340 DCT LUGSA/N0496F400 DCT CIN ATMAP M635 SURGA T23 UGEBO GUNUD KEXAS UGEBO1B,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,2058.0253306982204
